Store,id,res_id,City,StreetNa_1,ADDRESS,House_Num1,House_Num2,House_Num3,House_Num4,House_Num5,House_Num6,Build_type,adres_full,Cell,Y,X,car,pedestrian,Status,Type,Year_buld,floors,flats,Matwalls,people,Key_Accou,Bus
KFC Belorusskaya Moscow,5003001963,0,Москва,Лесная,39,39, , , , , ,Нежил,"Москва, Лесная, 39",C1,"37,589803","55,780543",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001964,0,Москва,Угловой переулок,2 стр 2,2, , ,стр,2,стр 2,Нежил,"Москва, Угловой переулок, 2 стр 2",C1,"37,589851","55,785423",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001965,0,Москва,Бутырский Вал,68-70,68-70, , , , , ,Нежил,"Москва, Бутырский Вал, 68-70",C1,"37,59","55,788861",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001966,0,Москва,Угловой переулок,25,25, , , , , ,Нежил,"Москва, Угловой переулок, 25",C1,"37,589972","55,788215",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001967,0,Москва,Лесная,43,43, , , , , ,Нежил,"Москва, Лесная, 43",C1,"37,590658","55,780652",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001968,0,Москва,Лесная,41,41, , , , , ,Нежил,"Москва, Лесная, 41",C1,"37,590376","55,780174",5,10,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001969,0,Москва,Порядковый переулок,21,21, , , , , ,Нежил,"Москва, Порядковый переулок, 21",C1,"37,590346","55,784393",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001970,0,Москва,Угловой переулок,27 стр 2,27, , ,стр,2,стр 2,Нежил,"Москва, Угловой переулок, 27 стр 2",C1,"37,590376","55,78865",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001971,0,Москва,Порядковый переулок,9,9, , , , , ,Нежил,"Москва, Порядковый переулок, 9",C1,"37,590544","55,785733",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001972,0,Москва,Новолесная,5,5, , , , , ,Нежил,"Москва, Новолесная, 5",C1,"37,590619","55,782369",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001973,0,Москва,Порядковый переулок,19 стр 2,19, , ,стр,2,стр 2,Нежил,"Москва, Порядковый переулок, 19 стр 2",C1,"37,590658","55,784712",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001974,0,Москва,Новолесная,3-5 стр 1,3-5, , ,стр,1,стр 1,Нежил,"Москва, Новолесная, 3-5 стр 1",C1,"37,590883","55,782176",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001975,0,Москва,Новолесная,8/12,8/12, , , , , ,Нежил,"Москва, Новолесная, 8/12",C1,"37,590851","55,782791",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001976,0,Москва,Порядковый переулок,5Б стр 3,5Б, , ,стр,3,стр 3,Нежил,"Москва, Порядковый переулок, 5Б стр 3",C1,"37,591165","55,786352",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001977,0,Москва,Новослободская,61 стр 2,61, , ,стр,2,стр 2,Нежил,"Москва, Новослободская, 61 стр 2",C1,"37,591198","55,787786",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001978,0,Москва,Новолесная,3,3, , , , , ,Нежил,"Москва, Новолесная, 3",C1,"37,591177","55,781962",5,15,active, ,0,0,0, ,0, ,15
KFC Belorusskaya Moscow,5003001979,0,Москва,Горлов тупик,8/10,8/10, , , , , ,Нежил,"Москва, Горлов тупик, 8/10",C1,"37,591501","55,785819",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001980,0,Москва,Новослободская,65 стр 4,65, , ,стр,4,стр 4,Нежил,"Москва, Новослободская, 65 стр 4",C1,"37,591188","55,788231",5,0,active, ,0,0,0, ,0, ,0
KFC Belorusskaya Moscow,5003001981,0,Москва,Минаевский проезд,7,7, , , , , ,Нежил,"Москва, Минаевский проезд, 7",C1,"37,591423","55,783059",5,15,active, ,0,0,0, ,0, ,15
